ranking,versus,budget,difference,standard_error,ci_low,ci_high,p_value,n_disagree
predicted profit,always Mens,6400.0,-0.04907015587994499,0.02311087023631734,-0.09436662919450567,-0.003773682565384316,0.033732905761729305,13850
predicted visit uplift,always Mens,6400.0,0.01054381916963715,0.023077752242801654,-0.03468774407039255,0.05577538240966685,0.6477555644195896,16910
random ranking,always Mens,6400.0,-0.04907015587994499,0.02311087023631734,-0.09436662919450567,-0.003773682565384316,0.033732905761729305,13850
