policy,versus,difference,standard_error,ci_low,ci_high,p_value,n_disagree
email nobody,everyone gets Mens,-0.07658956365153127,0.00366999248832877,-0.08378261675218819,-0.06939651055087435,1.0216859078676433e-96,64000
everyone gets Womens,everyone gets Mens,-0.03135645706447829,0.003954905894810713,-0.03910793018055244,-0.023604983948404136,2.218151262997494e-15,64000
random assignment,everyone gets Mens,-0.03539158388200094,0.0031029099438369674,-0.0414731756191926,-0.029309992144809283,3.905657559759851e-30,42639
best campaign per customer,everyone gets Mens,0.0017898329398478583,0.002107437722623569,-0.002340669096155449,0.005920334975851166,0.3957180547976863,19086
"best campaign, or none if uplift <= 0",everyone gets Mens,0.001789837345454996,0.002109527223444408,-0.0023447600369028224,0.0059244347278128145,0.3961850390879591,19110
