ranking,budget,n_sends,cost_spent,profit_per_customer,standard_error,ci_low,ci_high,total_profit,baseline_profit,n_customers,budget_used,net_gain,return_on_spend
predicted profit,3200.0,32000,3200.0,0.24747612488010937,0.028535238197228432,0.19154808572326998,0.30340416403694875,15838.471992326999,12533.555618135735,64000,1.0,3304.9163741912635,1.0327863669347699
predicted profit,3520.0,35200,3520.0,0.25410458460962215,0.029532981771790208,0.19622100398083542,0.3119881652384089,16262.693415015818,12533.555618135735,64000,1.0,3729.1377968800825,1.0594141468409326
predicted profit,3840.0,38400,3840.0,0.2516523599686289,0.029896409497698187,0.19305647408607923,0.31024824585117855,16105.75103799225,12533.555618135735,64000,1.0,3572.1954198565145,0.9302592239209673
predicted profit,4160.0,41600,4160.0,0.25421365785728184,0.03039730444576853,0.19463603591647627,0.3137912797980874,16269.674102866038,12533.555618135735,64000,1.0,3736.118484730303,0.8981054049832459
predicted profit,4480.0,44800,4480.0,0.2703112825865758,0.03173684647930001,0.20810820650427095,0.3325143586688806,17299.92208554085,12533.555618135735,64000,1.0,4766.366467405114,1.0639210864743558
predicted profit,4800.0,48000,4800.0,0.26860714616105075,0.03179628529998835,0.20628757213091325,0.33092672019118824,17190.85735430725,12533.555618135735,64000,1.0,4657.301736171514,0.970271195035732
predicted profit,5120.0,51200,5120.0,0.2763510207621319,0.032222362689117476,0.21319635039467444,0.3395056911295894,17686.46532877644,12533.555618135735,64000,1.0,5152.909710640706,1.006427677859513
predicted profit,5440.0,54400,5440.0,0.28526990123859547,0.032908267331364024,0.22077088247550594,0.349768920001685,18257.27367927011,12533.555618135735,64000,1.0,5723.718061134376,1.0521540553555837
predicted profit,5760.0,54881,5488.1,0.28515507926283773,0.03294293498845292,0.2205881131404256,0.34972204538524987,18249.925072821614,12533.555618135735,64000,0.952795138888889,5716.369454685879,1.0415935304906758
predicted profit,6080.0,54881,5488.1,0.28515507926283773,0.03294293498845292,0.2205881131404256,0.34972204538524987,18249.925072821614,12533.555618135735,64000,0.9026480263157896,5716.369454685879,1.0415935304906758
predicted profit,6400.0,54881,5488.1,0.28515507926283773,0.03294293498845292,0.2205881131404256,0.34972204538524987,18249.925072821614,12533.555618135735,64000,0.857515625,5716.369454685879,1.0415935304906758
predicted visit uplift,0.0,0,0.0,0.19583680653337085,0.02384178019648611,0.14910777602093778,0.24256583704580392,12533.555618135735,12533.555618135735,64000,0.0,0.0,
predicted visit uplift,320.0,3200,320.0,0.2105531759711261,0.025387061243220974,0.16079545026110034,0.26031090168115184,13475.403262152071,12533.555618135735,64000,1.0,941.8476440163358,2.9432738875510496
predicted visit uplift,640.0,6400,640.0,0.22058168280694615,0.02631609309833779,0.169003088120401,0.2721602774934913,14117.227699644554,12533.555618135735,64000,1.0,1583.6720815088192,2.4744876273575303
predicted visit uplift,960.0,9600,960.0,0.2063275744928259,0.0255538873602846,0.15624287560167477,0.25641227338397704,13204.964767540858,12533.555618135735,64000,1.0,671.4091494051227,0.6993845306303361
predicted visit uplift,1280.0,12800,1280.0,0.22360971830973383,0.027354286485104292,0.1699963019761387,0.277223134643329,14311.021971822965,12533.555618135735,64000,1.0,1777.4663536872304,1.3886455888181488
predicted visit uplift,1600.0,16000,1600.0,0.2344802840088102,0.02787333832578088,0.1798495447613797,0.2891110232562407,15006.738176563853,12533.555618135735,64000,1.0,2473.1825584281178,1.5457390990175737
predicted visit uplift,1920.0,19200,1920.0,0.24491242612612069,0.028803072208606246,0.1884594419531459,0.30136541029909547,15674.395272071724,12533.555618135735,64000,1.0,3140.839653935989,1.6358539864249944
predicted visit uplift,2240.0,22400,2240.0,0.24970327620161814,0.029689782089478943,0.19151237259739706,0.3078941798058392,15981.00967690356,12533.555618135735,64000,1.0,3447.4540587678257,1.5390419905213508
predicted visit uplift,2560.0,25600,2560.0,0.2590332139985154,0.030262977699228585,0.19971886764308858,0.3183475603539423,16578.125695904986,12533.555618135735,64000,1.0,4044.570077769251,1.5799101866286136
predicted visit uplift,2880.0,28800,2880.0,0.27197045706859807,0.031019156632955885,0.2111740272371978,0.33276688689999834,17406.109252390277,12533.555618135735,64000,1.0,4872.553634254542,1.691858900782827
predicted visit uplift,3200.0,32000,3200.0,0.29012307185733055,0.03212846809006673,0.22715243152235537,0.35309371219230573,18567.876598869156,12533.555618135735,64000,1.0,6034.320980733421,1.885725306479194
predicted visit uplift,3520.0,35200,3520.0,0.2864279941626463,0.03146806184107535,0.22475172629085943,0.3481042620344332,18331.391626409364,12533.555618135735,64000,1.0,5797.836008273629,1.6471125023504627
predicted visit uplift,3840.0,38400,3840.0,0.30431839361137236,0.03284795395104574,0.23993758690149253,0.3686992003212522,19476.37719112783,12533.555618135735,64000,1.0,6942.821572992096,1.808026451300025
predicted visit uplift,4160.0,41600,4160.0,0.3145191733183421,0.03335594473769196,0.24914272296215753,0.3798956236745267,20129.227092373894,12533.555618135735,64000,1.0,7595.671474238159,1.8258825659226343
predicted visit uplift,4480.0,44800,4480.0,0.30886090751981826,0.033344623229281126,0.24350664691236956,0.37421516812726696,19767.09808126837,12533.555618135735,64000,1.0,7233.542463132635,1.614630014092106
predicted visit uplift,4800.0,48000,4800.0,0.3066627092883632,0.0333643578361708,0.24126976956216173,0.37205564901456467,19626.413394455245,12533.555618135735,64000,1.0,7092.85777631951,1.477678703399898
predicted visit uplift,5120.0,51200,5120.0,0.31955749361309566,0.03408541768846073,0.2527513025457081,0.3863636846804832,20451.67959123812,12533.555618135735,64000,1.0,7918.123973102385,1.5465085884965597
predicted visit uplift,5440.0,54400,5440.0,0.34352088623631843,0.03612971187239841,0.27270795219460836,0.4143338202780285,21985.33671912438,12533.555618135735,64000,1.0,9451.781100988646,1.7374597612111482
predicted visit uplift,5760.0,54881,5488.1,0.34476905431241983,0.03619730407531283,0.27382364198736175,0.4157144666374779,22065.21947599487,12533.555618135735,64000,0.952795138888889,9531.663857859134,1.7367875690783938
predicted visit uplift,6080.0,54881,5488.1,0.34476905431241983,0.03619730407531283,0.27382364198736175,0.4157144666374779,22065.21947599487,12533.555618135735,64000,0.9026480263157896,9531.663857859134,1.7367875690783938
predicted visit uplift,6400.0,54881,5488.1,0.34476905431241983,0.03619730407531283,0.27382364198736175,0.4157144666374779,22065.21947599487,12533.555618135735,64000,0.857515625,9531.663857859134,1.7367875690783938
always Mens,0.0,0,0.0,0.19583680653337085,0.02384178019648611,0.14910777602093778,0.24256583704580392,12533.555618135735,12533.555618135735,64000,0.0,0.0,
always Mens,320.0,3200,320.0,0.1968150824273015,0.024164217226156828,0.14945408694943174,0.24417607790517126,12596.165275347295,12533.555618135735,64000,1.0,62.60965721156026,0.19565517878612582
always Mens,640.0,6400,640.0,0.2004249040164691,0.024907657238660712,0.15160679288942572,0.24924301514351246,12827.193857054022,12533.555618135735,64000,1.0,293.63823891828724,0.4588097483098238
always Mens,960.0,9600,960.0,0.1932544683859381,0.023781327717095506,0.14664392255588676,0.23986501421598944,12368.28597670004,12533.555618135735,64000,1.0,-165.26964143569603,-0.1721558764955167
always Mens,1280.0,12800,1280.0,0.2162730098483691,0.026639054395846677,0.1640614226503062,0.268484597046432,13841.472630295622,12533.555618135735,64000,1.0,1307.9170121598872,1.021810165749912
always Mens,1600.0,16000,1600.0,0.24257444765218167,0.028319014009277138,0.18707020011631323,0.2980786951880501,15524.764649739627,12533.555618135735,64000,1.0,2991.209031603892,1.8695056447524325
always Mens,1920.0,19200,1920.0,0.2495551939815036,0.028885187027379116,0.19294126772113696,0.30616912024187026,15971.53241481623,12533.555618135735,64000,1.0,3437.9767966804957,1.790612914937758
always Mens,2240.0,22400,2240.0,0.24992050319161785,0.029351759738241695,0.1923921112217913,0.30744889516144436,15994.912204263543,12533.555618135735,64000,1.0,3461.3565861278075,1.545248475949914
always Mens,2560.0,25600,2560.0,0.24310608163182065,0.029385208673150313,0.185512130954252,0.3007000323093893,15558.789224436521,12533.555618135735,64000,1.0,3025.233606300786,1.1817318774612446
