treatment_arm,n,llr_statistic,dof,p_value,pseudo_r2,passed
Mens E-Mail,42613,13.241677124635316,15,0.5836369639469039,0.0002241534499743958,True
Womens E-Mail,42693,11.274663689633599,15,0.7328920156340073,0.00019049895331302302,True
