treatment_arm,spend_effect,spend_ci_low,spend_ci_high,profit_per_email,profit_ci_low,profit_ci_high,p_value,break_even_spend,break_even_margin,break_even_margin_low,break_even_margin_high,margin,cost,profitable
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.015474073384180484,-0.027229040114738888,0.058177186883099856,0.4775573935071974,0.6666666666666666,0.12989928873553483,0.09483036268109687,0.20612618032867347,0.15000000000000002,0.1,False
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,-0.0363381676095105,-0.0746564815174332,0.001980146298412193,0.06307181427532738,0.6666666666666666,0.23561998511121812,0.14708745323925412,0.5918673056512707,0.15000000000000002,0.1,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,-0.08452592661581951,-0.1272290401147389,-0.04182281311690013,0.00010478849317415891,1.3333333333333333,0.25979857747106966,0.18966072536219375,0.41225236065734694,0.15000000000000002,0.2,False
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,-0.1363381676095105,-0.1746564815174332,-0.0980198537015878,3.131643916085657e-12,1.3333333333333333,0.47123997022243624,0.29417490647850825,1.1837346113025413,0.15000000000000002,0.2,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,-0.18452592661581946,-0.22722904011473882,-0.1418228131169001,2.5537647083133585e-17,1.9999999999999996,0.3896978662066044,0.2844910880432906,0.6183785409860204,0.15000000000000002,0.3,False
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,-0.23633816760951043,-0.27465648151743316,-0.19801985370158773,1.3824613710071529e-33,1.9999999999999996,0.7068599553336543,0.44126235971776234,1.7756019169538118,0.15000000000000002,0.3,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.10396543117890736,0.047027946513681515,0.1609029158441332,0.00034544980756898364,0.24999999999999997,0.06494964436776741,0.04741518134054844,0.10306309016433673,0.20000000000000004,0.05,True
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,0.03488244318731937,-0.016208642023244235,0.08597352839788297,0.18083688160813946,0.24999999999999997,0.11780999255560906,0.07354372661962706,0.29593365282563533,0.20000000000000004,0.05,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.05396543117890734,-0.0029720534863185016,0.11090291584413318,0.06321707416706956,0.49999999999999994,0.12989928873553483,0.09483036268109687,0.20612618032867347,0.20000000000000004,0.1,False
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,-0.015117556812680677,-0.06620864202324428,0.035973528397882926,0.5619451672389306,0.49999999999999994,0.23561998511121812,0.14708745323925412,0.5918673056512707,0.20000000000000004,0.1,False
