policy,outcome,value,standard_error,ci_low,ci_high,n_matched,n_total,coverage
email nobody,visit,0.10616727682343,0.002192472030643827,0.1018701106062567,0.1104644430406033,21306,64000,0.33290625
everyone gets Mens,visit,0.1827568404749613,0.002838232620443496,0.1771940067591453,0.1883196741907773,21307,64000,0.332921875
everyone gets Womens,visit,0.151400383410483,0.0025924953668539177,0.1463191858613624,0.15648158095960363,21387,64000,0.334171875
random assignment,visit,0.14736525659296035,0.0025628292932824027,0.1423422034796026,0.1523883097063181,21512,64000,0.336125
best campaign per customer,visit,0.18454667341480915,0.0028497045485035843,0.17896135513316216,0.19013199169645614,21374,64000,0.33396875
"best campaign, or none if uplift <= 0",visit,0.18454667782041628,0.002849704616606151,0.1789613594052907,0.19013199623554186,21377,64000,0.334015625
